ZQDM,WTFX,ZLSL,ZLJG,JGMS,JYSC
000157,1,698700.0,0.0,,2
000338,1,34300.0,0.0,,2
000538,1,5100.0,0.0,,2
000636,1,186700.00000000003,0.0,,2
000656,1,166000.0,0.0,,2
000703,1,213000.0,0.0,,2
000858,1,17500.0,0.0,,2
000860,1,53600.0,0.0,,2
002299,1,43900.000000000015,0.0,,2
002353,1,73299.99999999999,0.0,,2
002475,1,146800.0,0.0,,2
002563,1,264100.0,0.0,,2
300033,1,33700.0,0.0,,2
600021,1,275600.0,0.0,,1
600025,1,779300.0,0.0,,1
600153,1,42800.0,0.0,,1
600170,1,825800.0,0.0,,1
600352,1,22800.0,0.0,,1
600390,1,120700.0,0.0,,1
600519,1,400.0,0.0,,1
600585,1,25200.0,0.0,,1
600606,1,432500.0,0.0,,1
600690,1,121200.0,0.0,,1
600782,1,382700.0,0.0,,1
600801,1,146300.0,0.0,,1
600875,1,284100.0,0.0,,1
600999,1,133000.0,0.0,,1
601009,1,436900.0,0.0,,1
601155,1,79300.0,0.0,,1
601211,1,196200.0,0.0,,1
601288,1,1167200.0,0.0,,1
601318,1,79800.0,0.0,,1
601328,1,731800.0000000001,0.0,,1
601360,1,39200.0,0.0,,1
601398,1,241300.0,0.0,,1
601607,1,147799.99999999994,0.0,,1
601633,1,396800.0,0.0,,1
601818,1,892799.9999999999,0.0,,1
603568,1,117900.0,0.0,,1
603806,1,32400.0,0.0,,1
603816,1,51200.0,0.0,,1
