"Symbol","Description","Shares","Price (Ԫ)","Trade Value (Ԫ)","Trade Value (%)","Transaction Cost (Ԫ)","Trade Type","Action"
"000157-CN","ZOOMLION HVY IND S","698700.0","4.5299998","3165110.86026","0.0316511086026","0.0","Buy New","BUY"
"000338-CN","WEICHAI POWER CO","34300.0","11.2","384160.0","0.0038416","0.0","Buy New","BUY"
"000538-CN","YUNNAN BAIYAO GRP","5100.0","83.14","424014.0","0.00424014","0.0","Buy New","BUY"
"000636-CN","FENGHUA ADV TECH","186700.00000000003","16.070008","3000270.4936000006","0.030002704936000005","0.0","Buy New","BUY"
"000656-CN","JINKE PROPERTY GRO","166000.0","6.5699997","1090619.9502","0.010906199502","0.0","Buy New","BUY"
"000703-CN","HENGYI PETROCHEMIC","213000.0","14.73","3137490.0","0.0313749","0.0","Buy New","BUY"
"000858-CN","WULIANGYE YIBIN CO","17500.0","82.809998","1449174.9649999999","0.014491749649999998","0.0","Buy New","BUY"
"000860-CN","BEIJING SHUNXIN AG","53600.0","56.0","3001600.0","0.030016","0.0","Buy New","BUY"
"002299-CN","FUJIAN SUNNER DEVE","43900.00000000001","25.399994","1115059.7366000002","0.011150597366000001","0.0","Buy New","BUY"
"002353-CN","YANTAI JEREH OILFI","73299.99999999999","22.080002","1618464.1465999996","0.016184641465999995","0.0","Buy New","BUY"
"002475-CN","LUXSHARE PRECISION","146800.0","23.520005","3452736.734","0.034527367340000004","0.0","Buy New","BUY"
"002563-CN","ZHEJIANG SEMIR GAR","264100.0","11.36","3000176.0","0.03000176","0.0","Buy New","BUY"
"300033-CN","HITHINK ROYALFLUSH","33700.0","93.21000699999999","3141177.2358999997","0.031411772358999994","0.0","Buy New","BUY"
"600021-CN","SHANGHAI ELEC PWR","275600.0","9.1499997","2521739.91732","0.0252173991732","0.0","Buy New","BUY"
"600025-CN","HUANENG LANCANG RI","779300.0","3.9200001","3054856.07793","0.030548560779300002","0.0","Buy New","BUY"
"600153-CN","XIAMEN C & D","42800.0","8.8100005","377068.02139999997","0.003770680214","0.0","Buy New","BUY"
"600170-CN","S/CONSTRUCTION","825800.0","3.8000002","3138040.16516","0.0313804016516","0.0","Buy New","BUY"
"600352-CN","ZHEJIANG LONGSHENG","22800.0","13.82","315096.0","0.00315096","0.0","Buy New","BUY"
"600390-CN","MINMETALS CAPITAL","120700.0","10.16","1226312.0","0.01226312","0.0","Buy New","BUY"
"600519-CN","KWEICHOW MOUTAI","400.0","775.6001","310240.04","0.0031024003999999997","0.0","Buy New","BUY"
"600585-CN","ANHUI CONCH CEMENT","25199.999999999996","35.970002","906444.0504","0.009064440504","0.0","Buy New","BUY"
"600606-CN","GREENLAND HOLDINGS CORPORATION LIMITED","432500.0","7.4499999","3222124.95675","0.0322212495675","0.0","Buy New","BUY"
"600690-CN","QINGDAO HAIER CO","121199.99999999999","16.350007","1981620.8484","0.019816208484","0.0","Buy New","BUY"
"600782-CN","XINYU IRON & STEEL","382700.0","6.1599999","2357431.96173","0.023574319617300003","0.0","Buy New","BUY"
"600801-CN","HUAXIN CEMENT CO L","146300.0","20.509995","3000612.2685","0.030006122684999997","0.0","Buy New","BUY"
"600875-CN","DONGFANG ELECT COR","284100.0","10.560001","3000096.2841","0.030000962840999998","0.0","Buy New","BUY"
"600999-CN","CHINA MERCHANTS SE","133000.0","17.070008","2270311.0640000002","0.022703110640000003","0.0","Buy New","BUY"
"601009-CN","BANK OF NANJING CO","436900.0","7.75","3385975.0","0.03385975","0.0","Buy New","BUY"
"601155-CN","SEAZEN HOLDINGS CO","79300.0","41.190003","3266367.2378999996","0.032663672378999996","0.0","Buy New","BUY"
"601211-CN","GUOTAI JUNAN SECUR","196200.0","19.210007","3769003.3734000004","0.037690033734000004","0.0","Buy New","BUY"
"601288-CN","AGRICULTURAL BK CH","1167200.0","3.6599999","4271951.88328","0.0427195188328","0.0","Buy New","BUY"
"601318-CN","PING AN INSURANCE","79800.0","72.289994","5768741.521199999","0.05768741521199999","0.0","Buy New","BUY"
"601328-CN","BANK OF COMMUNICAT","731800.0000000001","6.1999999","4537159.926820001","0.04537159926820001","0.0","Buy New","BUY"
"601360-CN","360 SECURITY TECHN","39200.0","25.729996","1008615.8432","0.010086158432","0.0","Buy New","BUY"
"601398-CN","IND & COM BK CHINA","241300.0","5.4700003","1319911.0723899999","0.013199110723899999","0.0","Buy New","BUY"
"601607-CN","SHANGHAI PHARMACEU","147799.99999999997","21.550004","3185090.5911999997","0.031850905911999995","0.0","Buy New","BUY"
"601633-CN","GREAT WALL MOTOR","396800.0","7.7700005","3083136.1984","0.030831361984","0.0","Buy New","BUY"
"601818-CN","CHINA EVERBRIGHT B","892799.9999999999","4.0200005","3589056.4464","0.035890564464","0.0","Buy New","BUY"
"603568-CN","ZHEJIANG WEIMING E","117899.99999999999","25.449997","3000554.6462999997","0.030005546462999997","0.0","Buy New","BUY"
"603806-CN","HANGZHOU FIRST APP","32399.999999999996","35.380005","1146312.1619999998","0.011463121619999997","0.0","Buy New","BUY"
"603816-CN","JASON FURNITURE (H","51200.0","58.600007","3000320.3584","0.030003203583999997","0.0","Buy New","BUY"
