,gvkey,datadate,fyearq,fqtr,tic,cusip,conm,curcdq,datacqtr,datafqtr,dlttq,oiadpq,pstkq,exchg,costat,mkvaltq
408138,9559,1981-08-31,1981,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1981Q3,1981Q1,,-0.01,,19.0,I,
408139,9559,1981-11-30,1981,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1981Q4,1981Q2,,-0.201,,19.0,I,
408140,9559,1982-02-28,1981,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1982Q1,1981Q3,0.831,0.148,0.0,19.0,I,
408141,9559,1982-05-31,1982,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1982Q2,1982Q1,1.818,-0.019,0.0,19.0,I,
408142,9559,1982-05-31,1981,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,,1981Q4,1.818,-0.157,0.0,19.0,I,
408143,9559,1982-08-31,1982,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1982Q3,1982Q2,2.216,0.066,0.0,19.0,I,
408144,9559,1982-11-30,1982,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1982Q4,1982Q3,2.314,0.118,0.0,19.0,I,
408145,9559,1983-02-28,1982,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1983Q1,1982Q4,1.952,-0.151,0.0,19.0,I,
408146,9559,1983-05-31,1983,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1983Q2,1983Q1,1.951,-0.028,0.0,19.0,I,
408147,9559,1983-08-31,1983,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1983Q3,1983Q2,1.341,-0.022,0.0,19.0,I,
408148,9559,1983-11-30,1983,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1983Q4,1983Q3,0.85,-0.057,0.0,19.0,I,
408149,9559,1984-02-29,1983,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1984Q1,1983Q4,0.85,-0.06,0.0,19.0,I,
408150,9559,1984-05-31,1984,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1984Q2,1984Q1,0.85,-0.109,0.0,19.0,I,
408151,9559,1984-08-31,1984,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1984Q3,1984Q2,0.0,-0.072,0.0,19.0,I,
408152,9559,1984-11-30,1984,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1984Q4,1984Q3,0.0,,0.0,19.0,I,
408153,9559,1985-02-28,1984,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1985Q1,1984Q4,0.0,-0.12,0.0,19.0,I,
408154,9559,1985-05-31,1985,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1985Q2,1985Q1,0.0,,0.0,19.0,I,
408155,9559,1985-08-31,1985,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1985Q3,1985Q2,0.0,,0.0,19.0,I,
408156,9559,1985-11-30,1985,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1985Q4,1985Q3,0.0,,0.0,19.0,I,
408157,9559,1986-02-28,1985,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1986Q1,1985Q4,8.233,-0.268,0.0,19.0,I,
408158,9559,1986-05-31,1986,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1986Q2,1986Q1,7.85,0.421,0.0,19.0,I,
408159,9559,1986-08-31,1986,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1986Q3,1986Q2,7.554,0.512,0.0,19.0,I,
408160,9559,1986-11-30,1986,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1986Q4,1986Q3,6.491,-0.07,0.0,19.0,I,
408161,9559,1987-02-28,1986,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,,1986Q4,,,,19.0,I,
408162,9559,1987-03-31,1987,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1987Q1,1987Q1,9.319,-0.01,0.0,19.0,I,
408163,9559,1987-06-30,1987,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1987Q2,1987Q2,9.306,-0.01,0.0,19.0,I,
408164,9559,1987-09-30,1987,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1987Q3,1987Q3,9.553,,0.0,19.0,I,
408165,9559,1987-12-31,1987,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1987Q4,1987Q4,5.832,-0.237,0.013,19.0,I,
408166,9559,1988-03-31,1988,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1988Q1,1988Q1,5.832,,1.3,19.0,I,
408167,9559,1988-06-30,1988,2,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1988Q2,1988Q2,5.832,,1.3,19.0,I,
408168,9559,1988-09-30,1988,3,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1988Q3,1988Q3,5.832,,1.148,19.0,I,
408169,9559,1988-12-31,1988,4,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1988Q4,1988Q4,0.0,-0.283,0.011,19.0,I,
408170,9559,1989-03-31,1989,1,SFSIQ,812209104,SEARCH FINANCIAL SERVICES,USD,1989Q1,1989Q1,0.0,-0.072,0.011,19.0,I,
