date,cpiaucsl,cpi_adjust
1972/12/1,42.5,0.201042583
1973/1/1,42.7,0.201249918
1973/2/1,43,0.202175027
1973/3/1,43.4,0.203328211
1973/4/1,43.7,0.204260968
1973/5/1,43.9,0.203988699
1973/6/1,44.2,0.203252967
1973/7/1,44.2,0.20181174
1973/8/1,45,0.205770726
1973/9/1,45.2,0.206508678
1973/10/1,45.6,0.210143091
1973/11/1,45.9,0.215338278
1973/12/1,46.3,0.219018155
1974/1/1,46.8,0.22057368
1974/2/1,47.3,0.22239253
1974/3/1,47.8,0.223942131
1974/4/1,48.1,0.22482729
1974/5/1,48.6,0.225828036
1974/6/1,49,0.225325688
1974/7/1,49.3,0.22509771
1974/8/1,49.9,0.228176871
1974/9/1,50.6,0.231180069
1974/10/1,51,0.235028457
1974/11/1,51.5,0.241610486
1974/12/1,51.9,0.245508472
1975/1/1,52.3,0.246495801
1975/2/1,52.6,0.247311777
1975/3/1,52.8,0.24736704
1975/4/1,53,0.247730693
1975/5/1,53.1,0.246738039
1975/6/1,53.5,0.246018863
1975/7/1,54,0.246557329
1975/8/1,54.2,0.247839407
1975/9/1,54.6,0.249455173
1975/10/1,54.9,0.253001221
1975/11/1,55.3,0.259438056
1975/12/1,55.6,0.263011003
1976/1/1,55.8,0.262991695
1976/2/1,55.9,0.262827535
1976/3/1,56,0.262358982
1976/4/1,56.1,0.262220602
1976/5/1,56.4,0.262072042
1976/6/1,56.7,0.26073401
1976/7/1,57,0.260254959
1976/8/1,57.3,0.262014724
1976/9/1,57.6,0.263161502
1976/10/1,57.9,0.266826425
1976/11/1,58.1,0.27257416
1976/12/1,58.4,0.276256161
1977/1/1,58.7,0.276659723
1977/2/1,59.3,0.278813468
1977/3/1,59.6,0.279224917
1977/4/1,60,0.280449842
1977/5/1,60.2,0.279729378
1977/6/1,60.5,0.278208247
1977/7/1,60.8,0.277605289
1977/8/1,61.1,0.279390919
1977/9/1,61.3,0.280065973
1977/10/1,61.6,0.283877509
1977/11/1,62,0.290870877
1977/12/1,62.3,0.294704775
1978/1/1,62.7,0.295512174
1978/2/1,63,0.296209924
1978/3/1,63.4,0.297027848
1978/4/1,63.9,0.298679081
1978/5/1,64.5,0.299710048
1978/6/1,65,0.298901422
1978/7/1,65.5,0.299064908
1978/8/1,65.9,0.301339796
1978/9/1,66.5,0.303823609
1978/10/1,67.1,0.309223715
1978/11/1,67.5,0.316673938
1978/12/1,67.9,0.321195092
1979/1/1,68.5,0.322848228
1979/2/1,69.2,0.325360741
1979/3/1,69.9,0.327480229
1979/4/1,70.6,0.32999598
1979/5/1,71.4,0.331772053
1979/6/1,72.2,0.332010503
1979/7/1,73,0.333308982
1979/8/1,73.7,0.337006722
1979/9/1,74.4,0.33991694
1979/10/1,75.2,0.346551764
1979/11/1,76,0.356551397
1979/12/1,76.9,0.363768815
1980/1/1,78,0.3676228
1980/2/1,79,0.371437841
1980/3/1,80.1,0.375267044
1980/4/1,80.9,0.37813987
1980/5/1,81.7,0.379632727
1980/6/1,82.5,0.379374882
1980/7/1,82.6,0.377141396
1980/8/1,83.2,0.380447208
1980/9/1,83.9,0.383320312
1980/10/1,84.7,0.390331574
1980/11/1,85.6,0.401589469
1980/12/1,86.4,0.408707746
1981/1/1,87.2,0.410983438
1981/2/1,88,0.413753544
1981/3/1,88.6,0.415089389
1981/4/1,89.1,0.416468015
1981/5/1,89.7,0.416806067
1981/6/1,90.5,0.41616275
1981/7/1,91.5,0.417777697
1981/8/1,92.2,0.421601354
1981/9/1,93.1,0.425353052
1981/10/1,93.4,0.430424664
1981/11/1,93.8,0.440059488
1981/12/1,94.1,0.445131931
1982/1/1,94.4,0.44491785
1982/2/1,94.7,0.445255234
1982/3/1,94.7,0.443667779
1982/4/1,95,0.444045582
1982/5/1,95.9,0.445615405
1982/6/1,97,0.446052892
1982/7/1,97.5,0.445172955
1982/8/1,97.7,0.446751109
1982/9/1,97.7,0.446369422
1982/10/1,98.1,0.452084149
1982/11/1,98,0.459763644
1982/12/1,97.7,0.462161421
1983/1/1,97.9,0.461413745
1983/2/1,98,0.460770992
1983/3/1,98.1,0.459596717
1983/4/1,98.8,0.461807406
1983/5/1,99.2,0.460949407
1983/6/1,99.4,0.457089252
1983/7/1,99.8,0.455674471
1983/8/1,100.1,0.457725548
1983/9/1,100.4,0.458705117
1983/10/1,100.8,0.464526832
