,gvkey,linkprim,liid,linktype,lpermno,lpermco,usedflag,linkdt,linkenddt
0,001000,C,00X,NU,,,-1.0,1961-01-01,1970-09-29
1,001000,P,01,NU,,,-1.0,1970-09-30,1970-11-12
2,001000,P,01,LU,25881.0,23369.0,1.0,1970-11-13,1978-06-30
3,001001,C,00X,NU,,,-1.0,1978-01-01,1983-09-19
4,001001,P,01,LU,10015.0,6398.0,1.0,1983-09-20,1986-07-31
5,001002,C,00X,NR,,,-1.0,1960-01-01,1970-09-29
6,001002,C,01,NR,,,-1.0,1970-09-30,1972-12-13
7,001002,C,01,NR,,,-1.0,1973-06-06,1973-08-31
8,001002,C,01,LC,10023.0,22159.0,1.0,1972-12-14,1973-06-05
9,001003,C,00X,NU,,,-1.0,1980-01-01,1983-12-06
10,001003,C,01,NU,,,-1.0,1989-08-17,
11,001003,C,01,LU,10031.0,6672.0,1.0,1983-12-07,1989-08-16
12,001004,C,00X,NU,,,-1.0,1965-06-01,1968-04-29
13,001004,P,01,NU,,,-1.0,1968-04-30,1972-04-23
14,001004,P,01,LU,54594.0,20000.0,1.0,1972-04-24,
15,001005,C,00X,NU,,,-1.0,1972-11-01,1973-01-30
16,001005,C,01,LU,61903.0,11.0,1.0,1973-01-31,1983-01-31
17,001007,C,00X,LU,10058.0,20.0,1.0,1973-10-01,1979-01-30
18,001007,P,01,LU,10058.0,20.0,1.0,1979-01-31,1984-09-28
19,001007,C,99X,NU,,,-1.0,1984-09-29,1986-06-30
20,001008,C,00X,NR,,,-1.0,1983-06-01,1983-08-24
21,001008,P,01,LC,10066.0,6331.0,1.0,1983-08-25,1987-10-30
22,001009,C,00X,NR,,,-1.0,1980-11-01,1981-01-29
23,001009,C,01,NR,,,-1.0,1981-01-30,1982-01-17
24,001009,C,01,NR,,,-1.0,1996-03-14,2007-02-28
25,001009,C,01,LC,10074.0,5271.0,1.0,1982-01-18,1996-03-13
26,001010,C,00X,LU,10006.0,22156.0,1.0,1950-05-01,1962-01-30
27,001010,P,01,LU,10006.0,22156.0,1.0,1962-01-31,1984-06-28
28,001010,C,99X,NU,,,-1.0,1984-06-29,
29,001011,C,00X,NR,,,-1.0,1982-01-01,1983-03-20
30,001011,P,01,NR,,,-1.0,1995-09-29,1995-10-31
31,001011,P,01,LC,10082.0,5793.0,1.0,1983-03-21,1995-09-28
32,001012,C,00X,NU,,,-1.0,1973-11-01,1978-01-30
33,001012,P,01,LU,10103.0,52.0,1.0,1978-01-31,1989-12-29
34,001012,C,99X,NU,,,-1.0,1989-12-30,1990-03-30
35,001013,C,00X,NU,,,-1.0,1973-11-01,1979-03-15
36,001013,P,01,LU,50906.0,2902.0,1.0,1979-03-16,2010-12-31
37,001015,C,00X,NU,,,-1.0,1977-08-01,1982-01-28
38,001015,P,01,LU,66405.0,5204.0,1.0,1982-01-29,1986-10-31
39,001015,C,99X,NU,,,-1.0,1986-11-01,1988-04-29
40,001016,C,00X,NR,,,-1.0,1973-11-01,1977-11-29
41,001016,P,01,NR,,,-1.0,1988-04-27,1988-05-31
42,001016,P,01,LC,10146.0,314.0,1.0,1977-11-30,1988-04-26
